x,y,z,energy
20.000000,20.000000,-6830.000000,1380.000319
20.000000,20.000000,-6829.000000,1380.000319
20.000000,20.000000,-6828.000000,1380.000319
20.000000,20.000000,-6827.000000,1380.000319
20.000000,20.000000,-6826.000000,1380.000319
20.000000,20.000000,-6825.000000,1380.000319
20.000000,20.000000,-6824.000000,1380.000319
20.000000,20.000000,-6823.000000,1380.000319
20.000000,20.000000,-6822.000000,1380.000319
20.000000,20.000000,-6821.000000,1380.000319
20.000000,20.000000,-6820.000000,1380.000319
20.000000,20.000000,-6819.000000,1380.000319
20.000000,20.000000,-6818.000000,1380.000319
20.000000,20.000000,-6817.000000,1380.000319
20.000000,20.000000,-6816.000000,1380.000319
20.000000,20.000000,-6815.000000,1380.000319
20.000000,20.000000,-6814.000000,1380.000319
20.000000,20.000000,-6813.000000,1380.000319
20.000000,20.000000,-6812.000000,1380.000319
20.000000,20.000000,-6811.000000,1380.000319
20.000000,20.000000,-6810.000000,1380.000319
20.000000,20.000000,-6809.000000,1380.000319
20.000000,20.000000,-6808.000000,1380.000319
20.000000,20.000000,-6807.000000,1380.000319
20.000000,20.000000,-6806.000000,1380.000319
20.000000,20.000000,-6805.000000,1380.000319
20.000000,20.000000,-6804.000000,1380.000319
20.000000,20.000000,-6803.000000,1380.000319
20.000000,20.000000,-6802.000000,1380.000319
20.000000,20.000000,-6801.000000,1380.000319
20.000000,20.000000,-6800.000000,1380.000319
20.000000,20.000000,-6799.000000,1380.000319
20.000000,20.000000,-6798.000000,1380.000319
20.000000,20.000000,-6797.000000,1380.000319
20.000000,20.000000,-6796.000000,1380.000319
20.000000,20.000000,-6795.000000,1380.000319
20.000000,20.000000,-6794.000000,1380.000319
20.000000,20.000000,-6793.000000,1380.000319
20.000000,20.000000,-6792.000000,1380.000319
20.000000,20.000000,-6791.000000,1380.000319
20.000000,20.000000,-6790.000000,1380.000319
20.000000,20.000000,-6789.000000,1380.000319
20.000000,20.000000,-6788.000000,1380.000319
20.000000,20.000000,-6787.000000,1380.000319
20.000000,20.000000,-6786.000000,1380.000319
20.000000,20.000000,-6785.000000,1380.000319
19.999992,20.000000,-6784.000000,1380.000319
19.999977,20.000000,-6783.000000,1380.000319
19.999954,20.000000,-6782.000000,1380.000319
19.999923,20.000000,-6781.000000,1380.000319
19.999885,20.000000,-6780.000000,1380.000319
19.999839,20.000000,-6779.000000,1380.000319
19.999785,20.000000,-6778.000000,1380.000319
19.999724,20.000000,-6777.000000,1380.000319
19.999655,20.000000,-6776.000000,1380.000319
19.999578,20.000000,-6775.000000,1380.000319
19.999494,20.000000,-6774.000000,1380.000319
19.999402,20.000000,-6773.000000,1380.000319
19.999302,20.000000,-6772.000000,1380.000319
19.999195,20.000000,-6771.000000,1380.000319
19.999080,20.000000,-6770.000000,1380.000319
19.998958,20.000000,-6769.000000,1380.000319
19.998827,20.000000,-6768.000000,1380.000319
19.998689,20.000000,-6767.000000,1380.000319
19.998544,20.000000,-6766.000000,1380.000319
19.998390,20.000000,-6765.000000,1380.000319
19.998229,20.000000,-6764.000000,1380.000319
19.998061,20.000000,-6763.000000,1380.000319
19.997884,20.000000,-6762.000000,1380.000319
19.997701,20.000000,-6761.000000,1380.000319
19.997509,20.000000,-6760.000000,1380.000319
19.997310,20.000000,-6759.000000,1380.000319
19.997103,20.000000,-6758.000000,1380.000319
19.996888,20.000000,-6757.000000,1380.000319
19.996666,20.000000,-6756.000000,1380.000319
19.996436,20.000000,-6755.000000,1380.000319
19.996198,20.000000,-6754.000000,1380.000319
19.995953,20.000000,-6753.000000,1380.000319
19.995700,20.000000,-6752.000000,1380.000319
19.995439,20.000000,-6751.000000,1380.000319
19.995171,20.000000,-6750.000000,1380.000319
19.994895,20.000000,-6749.000000,1380.000319
19.994612,20.000000,-6748.000001,1380.000319
19.994320,20.000000,-6747.000001,1380.000319
19.994021,20.000000,-6746.000001,1380.000319
19.993715,20.000000,-6745.000001,1380.000319
19.993400,20.000000,-6744.000001,1380.000319
19.993079,20.000000,-6743.000001,1380.000319
19.992749,20.000000,-6742.000001,1380.000319
19.992412,20.000000,-6741.000001,1380.000319
19.992067,20.000000,-6740.000001,1380.000319
19.991714,20.000000,-6739.000001,1380.000319
19.991354,20.000000,-6738.000001,1380.000319
19.990986,20.000000,-6737.000001,1380.000319
19.990610,20.000000,-6736.000001,1380.000319
19.990227,20.000000,-6735.000001,1380.000319
19.989836,20.000000,-6734.000001,1380.000319
19.989438,20.000000,-6733.000001,1380.000319
19.989031,20.000000,-6732.000002,1380.000319
19.988618,20.000000,-6731.000002,1380.000319
19.988196,20.000000,-6730.000002,1380.000319
19.987767,20.000000,-6729.000002,1380.000319
19.987330,20.000000,-6728.000002,1380.000319
19.986885,20.000000,-6727.000002,1380.000319
19.986433,20.000000,-6726.000002,1380.000319
19.985973,20.000000,-6725.000002,1380.000319
19.985506,20.000000,-6724.000002,1380.000319
19.985030,20.000000,-6723.000002,1380.000319
19.984547,20.000000,-6722.000003,1380.000319
19.984057,20.000000,-6721.000003,1380.000319
19.983559,20.000000,-6720.000003,1380.000319
19.983053,20.000000,-6719.000003,1380.000319
19.982539,20.000000,-6718.000003,1380.000319
19.982018,20.000000,-6717.000003,1380.000319
19.981489,20.000000,-6716.000003,1380.000319
19.980953,20.000000,-6715.000003,1380.000319
