x,z
-99.401785,-6684.353931
-100.163272,-6683.705753
-100.927041,-6683.060263
-101.693081,-6682.417471
-102.461382,-6681.777383
-103.231935,-6681.140008
-104.004731,-6680.505355
-104.779760,-6679.873429
-105.557012,-6679.244241
-106.336478,-6678.617797
-107.118147,-6677.994105
-107.902011,-6677.373173
-108.688059,-6676.755009
-109.476282,-6676.139620
-110.266670,-6675.527014
-111.059213,-6674.917199
-111.853901,-6674.310182
-112.650725,-6673.705970
-113.449674,-6673.104572
-114.250738,-6672.505995
-115.053908,-6671.910246
-115.859173,-6671.317332
-116.666524,-6670.727261
-117.475951,-6670.140041
-118.287443,-6669.555678
-119.100990,-6668.974181
-119.916583,-6668.395555
-120.734210,-6667.819808
-121.553863,-6667.246948
-122.375530,-6666.676982
-123.199202,-6666.109916
-124.024868,-6665.545758
-124.852518,-6664.984514
-125.682142,-6664.426193
-126.513729,-6663.870799
-127.347270,-6663.318342
-128.182753,-6662.768827
-129.020168,-6662.222261
-129.859506,-6661.678651
-130.700754,-6661.138003
-131.543904,-6660.600326
-132.388945,-6660.065624
-133.235865,-6659.533906
-134.084655,-6659.005176
-134.935304,-6658.479443
-135.787801,-6657.956713
-136.642136,-6657.436991
-137.498299,-6656.920285
-138.356277,-6656.406601
-139.216062,-6655.895945
-140.077642,-6655.388324
-140.941006,-6654.883744
-141.806144,-6654.382211
-142.673045,-6653.883732
-143.541698,-6653.388312
-144.412093,-6652.895958
-145.284218,-6652.406676
-146.158063,-6651.920473
-147.033617,-6651.437353
-147.910868,-6650.957323
-148.789807,-6650.480390
-149.670422,-6650.006558
-150.552702,-6649.535834
-151.436636,-6649.068225
-152.322214,-6648.603734
-153.209424,-6648.142369
-154.098255,-6647.684135
-154.988696,-6647.229038
-155.880736,-6646.777083
-156.774365,-6646.328277
-157.669570,-6645.882623
-158.566341,-6645.440129
-159.464666,-6645.000800
-160.364535,-6644.564641
-161.265936,-6644.131657
-162.168859,-6643.701855
-163.073291,-6643.275238
-163.979221,-6642.851813
-164.886639,-6642.431585
-165.795533,-6642.014559
-166.705892,-6641.600741
-167.617704,-6641.190134
-168.530958,-6640.782745
-169.445643,-6640.378579
-170.361748,-6639.977640
-171.279260,-6639.579934
-172.198169,-6639.185466
-173.118463,-6638.794239
-174.040130,-6638.406261
-174.963160,-6638.021534
-175.887541,-6637.640064
-176.813261,-6637.261856
-177.740309,-6636.886914
-178.668673,-6636.515243
-179.598341,-6636.146847
-180.529303,-6635.781732
-181.461547,-6635.419902
-182.395060,-6635.061360
-183.329832,-6634.706113
-184.265850,-6634.354163
-185.203104,-6634.005517
-186.141581,-6633.660176
-187.081270,-6633.318147
-188.022159,-6632.979434
-188.964236,-6632.644040
-189.907490,-6632.311969
-190.851909,-6631.983227
-191.797481,-6631.657816
-192.744195,-6631.335742
-193.692039,-6631.017007
-194.641000,-6630.701617
-195.591068,-6630.389574
-196.542229,-6630.080883
-197.494474,-6629.775548
-198.447789,-6629.473572
-199.402163,-6629.174959
-200.357583,-6628.879713
-201.314039,-6628.587838
-202.271518,-6628.299337
-203.230008,-6628.014213
-204.189498,-6627.732471
-205.149975,-6627.454114
-206.111428,-6627.179145
-207.073844,-6626.907567
-208.037211,-6626.639385
-209.001519,-6626.374601
-209.966753,-6626.113219
-210.932904,-6625.855241
-211.899958,-6625.600672
-212.867903,-6625.349514
-213.836729,-6625.101771
-214.806421,-6624.857445
-215.776969,-6624.616539
-216.748361,-6624.379057
-217.720583,-6624.145002
-218.693625,-6623.914376
-219.667474,-6623.687182
-220.642118,-6623.463424
-221.617545,-6623.243103
-222.593743,-6623.026223
-223.570699,-6622.812786
-224.548402,-6622.602795
-225.526839,-6622.396252
-226.505999,-6622.193161
-227.485868,-6621.993524
-228.466435,-6621.797342
-229.447688,-6621.604619
-230.429614,-6621.415358
